##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.688007167399064	32.0	32.0	32.0	32.0	32.0
2	30.933836177723204	32.0	32.0	32.0	32.0	32.0
3	34.450011741060365	37.0	32.0	37.0	32.0	37.0
4	35.070974947029725	37.0	37.0	37.0	32.0	37.0
5	35.32016658891235	37.0	37.0	37.0	32.0	37.0
6	38.46256552941207	41.0	37.0	41.0	32.0	41.0
7	38.67738682613732	41.0	37.0	41.0	32.0	41.0
8	38.759038821108106	41.0	41.0	41.0	32.0	41.0
9	38.9613849193837	41.0	41.0	41.0	32.0	41.0
10-11	39.06279638047431	41.0	41.0	41.0	32.0	41.0
12-13	39.0588554356367	41.0	41.0	41.0	32.0	41.0
14-15	39.00968959292192	41.0	41.0	41.0	32.0	41.0
16-17	38.94758067084069	41.0	41.0	41.0	32.0	41.0
18-19	38.94411136704018	41.0	41.0	41.0	32.0	41.0
20-21	38.8524252708269	41.0	41.0	41.0	32.0	41.0
22-23	38.86185199407649	41.0	41.0	41.0	32.0	41.0
24-25	38.7972323278749	41.0	41.0	41.0	32.0	41.0
26-27	38.60339395911943	41.0	41.0	41.0	32.0	41.0
28-29	38.53507975452308	41.0	41.0	41.0	32.0	41.0
30-31	38.467768248676876	41.0	41.0	41.0	32.0	41.0
32-33	38.46507302153648	41.0	41.0	41.0	32.0	41.0
34-35	38.54359266691174	41.0	41.0	41.0	32.0	41.0
36-37	38.55484992512957	41.0	41.0	41.0	32.0	41.0
38-39	38.51352613513967	41.0	41.0	41.0	32.0	41.0
40-41	38.461283396135244	41.0	41.0	41.0	32.0	41.0
42-43	38.42076857401197	41.0	41.0	41.0	32.0	41.0
44-45	38.361368801678786	41.0	41.0	41.0	32.0	41.0
46-47	38.340652672876445	41.0	41.0	41.0	32.0	41.0
48-49	38.303841027262166	41.0	41.0	41.0	32.0	41.0
50-51	38.30002921376359	41.0	41.0	41.0	32.0	41.0
52-53	38.2400695561283	41.0	41.0	41.0	32.0	41.0
54-55	38.22384656785025	41.0	41.0	41.0	32.0	41.0
56-57	38.162156678996695	41.0	41.0	41.0	32.0	41.0
58-59	38.118063069209384	41.0	41.0	41.0	32.0	41.0
60-61	38.05106341622445	41.0	39.0	41.0	32.0	41.0
62-63	37.99245882465007	41.0	37.0	41.0	29.5	41.0
64-65	37.95407944598997	41.0	37.0	41.0	27.0	41.0
66-67	37.87221867965442	41.0	37.0	41.0	27.0	41.0
68-69	37.83919188307232	41.0	37.0	41.0	27.0	41.0
70-71	37.67272407369944	41.0	37.0	41.0	27.0	41.0
72-73	37.5844600934705	41.0	37.0	41.0	27.0	41.0
74-75	37.47390554415174	41.0	37.0	41.0	27.0	41.0
76-77	36.886647751793575	41.0	37.0	41.0	24.5	41.0
78-79	37.00427064980163	41.0	37.0	41.0	24.5	41.0
80-81	37.22252408949872	41.0	37.0	41.0	27.0	41.0
82-83	37.19473466626324	41.0	37.0	41.0	27.0	41.0
84-85	37.12553917076542	41.0	37.0	41.0	24.5	41.0
86-87	37.034129290957836	41.0	37.0	41.0	22.0	41.0
88-89	36.75635416295454	41.0	37.0	41.0	22.0	41.0
90-91	36.655361633466725	41.0	37.0	41.0	22.0	41.0
92-93	36.481733335519394	41.0	37.0	41.0	22.0	41.0
94-95	36.34037699847007	41.0	37.0	41.0	22.0	41.0
96-97	36.273101738828686	41.0	37.0	41.0	22.0	41.0
98-99	36.05177594208629	41.0	37.0	41.0	22.0	41.0
100-101	35.48027867708262	41.0	34.5	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-2.014208956351851
1101	2	-0.31201336693742476
1101	3	-0.7744555795702084
1101	4	-0.6423376649159849
1101	5	0.11380528077962282
1101	6	-0.1164157736267839
1101	7	-0.08085793071673919
1101	8	0.09908026529530645
1101	9	-0.08403647932276925
1101	10-11	0.035435924541666
1101	12-13	-0.014528658114798532
1101	14-15	-0.05118679229146039
1101	16-17	-0.09885062971368797
1101	18-19	0.01966614677848355
1101	20-21	0.12802822225321364
1101	22-23	0.09809208413043535
1101	24-25	-0.005475941998220435
1101	26-27	-0.0029624728357688923
1101	28-29	-0.024407312038889017
1101	30-31	-0.03567826065138746
1101	32-33	0.008582699605078403
1101	34-35	-0.4360728346986278
1101	36-37	-0.16937836440543919
1101	38-39	-0.3249170244975872
1101	40-41	-0.5020512742969245
1101	42-43	-0.4089084590363541
1101	44-45	-0.19282558725994647
1101	46-47	-0.40638685158209853
1101	48-49	-0.24299099023901505
1101	50-51	-0.11490343980668172
1101	52-53	-0.25251273612391856
1101	54-55	-0.1925558492159567
1101	56-57	-0.22714963099200958
1101	58-59	-0.2505858879443039
1101	60-61	-0.3455788397347419
1101	62-63	-0.34428085269871644
1101	64-65	-0.48140083951781776
1101	66-67	-0.35634787250511124
1101	68-69	-0.3660870182562874
1101	70-71	-0.286012313383722
1101	72-73	-0.11409694449526597
1101	74-75	-0.203988047013965
1101	76-77	-0.4986899552031048
1101	78-79	-0.2814231521317794
1101	80-81	-0.24486738140434738
1101	82-83	-0.27178411503051336
1101	84-85	-0.375606337594661
1101	86-87	-0.1257708849564736
1101	88-89	-0.09285503023129138
1101	90-91	0.17598719198893775
1101	92-93	-0.08962933572359333
1101	94-95	-0.015815964224870527
1101	96-97	-0.19159362419988213
1101	98-99	-0.03224219980985055
1101	100-101	-0.385187191808825
1102	1	-1.207892445515796
1102	2	-0.18906704280232134
1102	3	-0.27416606980460045
1102	4	-0.1737625610636897
1102	5	0.15270251649502598
1102	6	0.04623499259904662
1102	7	0.07912084598073932
1102	8	0.15444773255569544
1102	9	-0.00753739012120036
1102	10-11	-0.011182060736331323
1102	12-13	-0.03932747445057316
1102	14-15	-0.1258464116715885
1102	16-17	-0.11335472733216534
1102	18-19	0.03749195423363716
1102	20-21	0.11370232682047998
1102	22-23	0.007050119074847316
1102	24-25	-0.011606594741451204
1102	26-27	0.03855981727235047
1102	28-29	0.011784446719929065
1102	30-31	0.04845313048906519
1102	32-33	0.0025049778636230258
1102	34-35	-0.13655364698693262
1102	36-37	-0.20621676528892152
1102	38-39	-0.24097496171511068
1102	40-41	-0.23540552896123756
1102	42-43	-0.19839615572541192
1102	44-45	-0.09496969293833502
1102	46-47	-0.27618598227093116
1102	48-49	-0.1753937445129239
1102	50-51	-0.2543656122197291
1102	52-53	-0.17265590456703706
1102	54-55	-0.24721500749907221
1102	56-57	-0.23307523199217428
1102	58-59	-0.1899417489504458
1102	60-61	-0.17601216866117397
1102	62-63	-0.21931274084717955
1102	64-65	-0.22207255009509197
1102	66-67	-0.14080834498119543
1102	68-69	-0.29825405932638915
1102	70-71	-0.19978400277025798
1102	72-73	-0.08583255766097153
1102	74-75	-0.003930310147786997
1102	76-77	-0.10608385668957965
1102	78-79	-0.17629290220068583
1102	80-81	-0.03265334695959865
1102	82-83	0.002074359187332675
1102	84-85	-0.002569175514459232
1102	86-87	-0.03625400800343925
1102	88-89	0.2523253091425275
1102	90-91	0.3288280218975217
1102	92-93	0.4113560613731053
1102	94-95	0.37666891575990036
1102	96-97	0.3467955908350788
1102	98-99	0.5193794160052292
1102	100-101	0.21102988784805632
1103	1	-1.6048396979816317
1103	2	-0.16387364586079656
1103	3	-0.391049221759765
1103	4	-0.17536261313450296
1103	5	0.05578855715812381
1103	6	0.010873293285342811
1103	7	0.12061805552475136
1103	8	-0.004039336095608803
1103	9	-0.051281872543277984
1103	10-11	-0.09687102640841516
1103	12-13	-0.14376810786607308
1103	14-15	-0.1296911115818773
