##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	28.652620099259046	32.0	32.0	32.0	12.0	32.0
2	28.849100274346508	32.0	32.0	32.0	12.0	32.0
3	31.37746702848735	37.0	32.0	37.0	12.0	37.0
4	32.11221750487088	37.0	32.0	37.0	12.0	37.0
5	32.38687993075417	37.0	32.0	37.0	12.0	37.0
6	34.71526451667278	41.0	32.0	41.0	12.0	41.0
7	34.71842010448934	41.0	32.0	41.0	12.0	41.0
8	34.81163687454464	41.0	32.0	41.0	12.0	41.0
9	35.089581851586225	41.0	32.0	41.0	12.0	41.0
10-11	35.05466442586079	41.0	32.0	41.0	12.0	41.0
12-13	35.06420313972079	41.0	32.0	41.0	12.0	41.0
14-15	34.97696729833526	41.0	32.0	41.0	12.0	41.0
16-17	34.7654677122195	41.0	32.0	41.0	12.0	41.0
18-19	34.89611180524663	41.0	32.0	41.0	12.0	41.0
20-21	34.834982750194	41.0	32.0	41.0	12.0	41.0
22-23	34.72020033514528	41.0	32.0	41.0	12.0	41.0
24-25	34.848778563872514	41.0	32.0	41.0	12.0	41.0
26-27	34.838843377506734	41.0	32.0	41.0	12.0	41.0
28-29	34.80807495660957	41.0	32.0	41.0	12.0	41.0
30-31	34.753670758174394	41.0	32.0	41.0	12.0	41.0
32-33	34.398930946982574	41.0	32.0	41.0	12.0	41.0
34-35	34.18941744964115	41.0	32.0	41.0	12.0	41.0
36-37	34.04243180598375	41.0	27.0	41.0	12.0	41.0
38-39	33.955228620057525	41.0	27.0	41.0	12.0	41.0
40-41	34.24443095694181	41.0	32.0	41.0	12.0	41.0
42-43	34.45213183916766	41.0	32.0	41.0	12.0	41.0
44-45	34.578471136435724	41.0	32.0	41.0	12.0	41.0
46-47	34.58229395929558	41.0	32.0	41.0	12.0	41.0
48-49	34.55932284230408	41.0	32.0	41.0	12.0	41.0
50-51	34.54454414672572	41.0	32.0	41.0	12.0	41.0
52-53	34.60190163172962	41.0	32.0	41.0	12.0	41.0
54-55	34.4297052621224	41.0	32.0	41.0	12.0	41.0
56-57	34.5017144793629	41.0	32.0	41.0	12.0	41.0
58-59	34.42146453501945	41.0	32.0	41.0	12.0	41.0
60-61	34.31962191346628	41.0	32.0	41.0	12.0	41.0
62-63	34.342850039762425	41.0	32.0	41.0	12.0	41.0
64-65	34.30466777948162	41.0	32.0	41.0	12.0	41.0
66-67	34.27948334049901	41.0	32.0	41.0	12.0	41.0
68-69	34.19242012589831	41.0	32.0	41.0	12.0	41.0
70-71	34.21942907010666	41.0	32.0	41.0	12.0	41.0
72-73	34.14366186667549	41.0	32.0	41.0	12.0	41.0
74-75	34.10858160402803	41.0	32.0	41.0	12.0	41.0
76-77	33.42069858834921	39.0	29.5	41.0	12.0	41.0
78-79	33.5967598873888	41.0	27.0	41.0	12.0	41.0
80-81	34.02950359772376	41.0	32.0	41.0	12.0	41.0
82-83	34.125062245234915	41.0	32.0	41.0	12.0	41.0
84-85	34.020318030298576	41.0	29.5	41.0	12.0	41.0
86-87	33.93546166757203	41.0	27.0	41.0	12.0	41.0
88-89	33.867008169149315	41.0	27.0	41.0	12.0	41.0
90-91	33.771406906941294	41.0	27.0	41.0	12.0	41.0
92-93	33.65099809853087	41.0	27.0	41.0	12.0	41.0
94-95	33.501072108538615	41.0	27.0	41.0	12.0	41.0
96-97	33.43136347518043	41.0	27.0	41.0	12.0	41.0
98-99	33.2534278408522	41.0	27.0	41.0	12.0	41.0
100-101	32.284609332984466	39.0	24.5	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-4.731912307579396
1101	2	-1.9455649234602603
1101	3	-3.4133506999461645
1101	4	-2.945497845859137
1101	5	-2.368957453171401
1101	6	-3.549700368201872
1101	7	-2.173895195304297
1101	8	-1.2513445263680723
1101	9	-1.1144111852164542
1101	10-11	-1.035646464909071
1101	12-13	-1.0580705350408692
1101	14-15	-0.9061644024170263
1101	16-17	-0.9308536988069278
1101	18-19	-0.9122219001883707
1101	20-21	-0.7451269694472771
1101	22-23	-0.8391411708721392
1101	24-25	-0.9229189320351168
1101	26-27	-0.9232622651291393
1101	28-29	-0.6648181526258554
1101	30-31	-1.1498210756784815
1101	32-33	-0.8405961289248154
1101	34-35	-0.998905499418818
1101	36-37	-0.9542048465540489
1101	38-39	-1.335902677214328
1101	40-41	-1.1693772723506726
1101	42-43	-1.443629504155588
1101	44-45	-1.1268580918295896
1101	46-47	-0.9871023351792871
1101	48-49	-1.055252675387102
1101	50-51	-0.7996166286174073
1101	52-53	-1.069105142743517
1101	54-55	-0.6597323180888139
1101	56-57	-1.0736863189860486
1101	58-59	-1.2769229349835811
1101	60-61	-1.017903658162858
1101	62-63	-1.2996034758779516
1101	64-65	-1.2410722884325764
1101	66-67	-1.2584594766310744
1101	68-69	-1.1812626155498762
1101	70-71	-1.2373327888091907
1101	72-73	-1.1630912163237
1101	74-75	-1.1648892223316736
1101	76-77	-1.3911372848148176
1101	78-79	-1.462974029941222
1101	80-81	-1.4449612072892322
1101	82-83	-1.4054383617062314
1101	84-85	-1.4755934503083452
1101	86-87	-1.41166021545898
1101	88-89	-1.7662777906064306
1101	90-91	-1.5630808960486533
1101	92-93	-1.3737381551754737
1101	94-95	-1.3004157401066578
1101	96-97	-1.4789957177055513
1101	98-99	-1.5283923211643184
1101	100-101	-1.5739852167931758
1102	1	-1.1300623639084364
1102	2	-1.5717085690046488
1102	3	-2.453282984949883
1102	4	-2.410382958414729
1102	5	-2.707260728987066
1102	6	-3.274778384394242
1102	7	-2.9189158520375926
1102	8	-2.0407473867103434
1102	9	-1.7199907983728053
1102	10-11	-1.403121251661453
1102	12-13	-1.4819811194115076
1102	14-15	-1.415221312977181
1102	16-17	-1.2333774001332785
1102	18-19	-1.26459731331272
1102	20-21	-1.3682513238025535
1102	22-23	-1.486751862929907
1102	24-25	-1.266354468632585
1102	26-27	-1.3033159548430007
1102	28-29	-1.3431980533178063
1102	30-31	-1.3029679985655918
1102	32-33	-1.149915301879581
1102	34-35	-1.1718332031222403
1102	36-37	-1.2849233918390723
1102	38-39	-1.4334825094777344
1102	40-41	-1.5407666718244357
1102	42-43	-1.4877802421102828
1102	44-45	-1.3953223959736718
1102	46-47	-1.380574933795927
1102	48-49	-1.3571460655855532
1102	50-51	-1.325396502785381
1102	52-53	-1.4881971372602436
1102	54-55	-1.2923112189867112
1102	56-57	-1.2572986045455607
1102	58-59	-1.458221681776486
1102	60-61	-1.3308573348577752
1102	62-63	-1.4213800157023542
1102	64-65	-1.4158728175454058
1102	66-67	-1.3845982096924132
1102	68-69	-1.2265602778591216
1102	70-71	-1.3690794508772655
1102	72-73	-1.2923383760601297
1102	74-75	-1.3671394055437887
1102	76-77	-1.651449910879908
1102	78-79	-1.3871571224149974
1102	80-81	-1.3821856353329025
1102	82-83	-1.4627580852718083
1102	84-85	-1.4172680319768816
1102	86-87	-1.5011484830737203
1102	88-89	-1.5295034847293962
1102	90-91	-1.5055899062419016
1102	92-93	-1.6118726341755192
1102	94-95	-1.4635304006482315
1102	96-97	-1.6471494107624238
1102	98-99	-1.6189149215441745
1102	100-101	-1.6900379514790593
1103	1	-1.2740445975407084
1103	2	-1.8352127624127306
1103	3	-2.996965541334866
1103	4	-2.893760627805804
1103	5	-3.186409843206661
1103	6	-3.254017069727304
1103	7	-3.6431198199695167
1103	8	-2.954788837126685
1103	9	-2.5899701633486956
1103	10-11	-2.034729559767321
1103	12-13	-1.8961910475579415
1103	14-15	-1.7523967189613927
